Adanel
Adrahil
Aegnor
Aerandir
Aerin
Agathor
Aghan
Aglahad
Ailinel
Alatar
Aldamir
Aldor
Algund
Almarian
Almiel
Alphros
Amandil
Amarie
Amdir
Amlach
Amlaith
Amnon
Amras
Amrod
Amroth
Amrothos
Anaire
Anardil
Anborn
Ancalagon
Andreth
Androg
Andvir
Angamaite
Angbor
Angelimar
Angelimir
Angrim
Angrod
Annael
Anson
Roper
Anarion
Ar-Adunakhor
Ar-Gimilzor
Ar-Pharazon
Ar-Sakalthor
Ar-Zimrathon
Arador
Araglas
Aragorn
Elessar
Aragost
Arahad
Arahael
Aranarth
Arantar
Aranuir
Aranwe
Araphant
Araphor
Arassuil
Aratan
Arathorn
Araval
Aravir
Aravorn
Arciryas
Ardamir
Aredhel
Argeleb
Argon
Argonui
Arien
Arminas
Artamir
Arthad
Arvedui
Arvegil
Arveleg
Arwen
Asgon
Atanalcar
Atanatar
Aulendil
Aule
Axantur
Azaghal
Azog
Angelica
Baggins
Balbo
Belladonna
Took
Berylla
Boffin
Bingo
Bungo
Chica
Chubb
Drogo
Dudo
Fosco
Frodo
Largo
Laura
Grubb
Longo
Mimosa
Bunce
Mungo
Pansy
Peony
Burrows
Polo
Ponto
Porto
Ruby
Bolger
Bain
Balcmeg
Baldor
Balin
Willie
Banks
Baragund
Barahir
Baran
Baranor
Bard
Beechbone
Beldir
Beldis
Belecthor
Beleg
Belegorn
Belegund
Belemir
Belen
Beorn
Bereg
Beregond
Berelach
Beren
Bergil
Beruthiel
Bifur
Bilbo
Bladorthin
Blanco
Bob
Bodruith
Donnamira
Basso
Bosco
Briffo
Buffo
Daisy
Druda
Folco
Gerda
Griffo
Gruffo
Hugo
Ivy
Goodenough
Jago
Lavender
Otto
Rollo
Tosto
Uffo
Vigo
Bofur
Boldog
Bolg
Adalga
Filiber
Fredega
Gundaha
Jessamine
Odovaca
Prisca
Rosamunda
Rudiber
Theobal
Wilibal
Wilima
Tom
Bombadil
Bombur
Borin
Borlach
Borlad
Borlas
Boromir
Boron
Borondir
Borthand
Bracegirdle
Bruno
Primrose
Brand
Brandir
Adaldrida
Brandybuck
Amaranth
Berilac
Celandine
Doderic
Esmeralda
Estella
Gorbadoc
Hilda
Ilberic
Madoc
Marmadoc
Melilot
Mentha
Meriadoc
Merimac
Mirabella
Orgulas
Primula
Rorimac
Salvia
Seredic
Bregalad
Brego
Bregolas
Bregor
Sapphira
Brockhouse
Brodda
Broncho
Stonecrow
Bucca
Asphodel
Milo
Minto
Moro
Mosco
Myrtle
Barliman
Butterbur
Beor
Bor
Calimehtar
Calimmacil
Caliondo
Calmacil
Caranthir
Carcharoth
Carl
Cotton
Castamir
Celeborn
Celebrimbor
Celebrindor
Celebrian
Celegorm
Celepharn
Cemendur
Ceorl
Falco
Chubb-Baggins
Poppy
Cirion
Ciryandil
Ciryatur
Ciryon
Cora
Goodbody
Cotman
Cottar
Tolman
Bowman
Lily
Marigold
Gamgee
Rosie
Wilcombe
Jolly
Curufin
Cirdan
Daeron
Dairuin
Damrod
Denethor
Derufin
Dervorin
Diamond
Dina
Diggle
Dinodas
Dior
Dodinas
Dori
Dorlas
Draugluin
Duilin
Duinhir
Durin
Dwalin
Dain
Dainronfoot
Deagol
Deor
Deorwine
Dirhael
Dirhavel
Dis
Dunhere
Ebor
Ecthelion
Edrahil
Egalmoth
Eglantine
Eilinel
Elatan
Elboron
Eldacar
Eldalote
Eldarion
Elemmakil
Elemmire
Elendil
