ARLYNE,0.001
ARMANDA,0.002
ARMANDINA,0.001
ARMIDA,0.004
ARMINDA,0.002
ARNETTA,0.002
ARNETTE,0.001
ARNITA,0.002
ARTHUR,0.002
ARTIE,0.004
ARVILLA,0.002
ASHA,0.003
ASHANTI,0.001
ASHELY,0.003
ASHLEA,0.001
ASHLEE,0.013
ASHLEIGH,0.008
ASHLEY,0.303
ASHLI,0.002
ASHLIE,0.003
ASHLY,0.003
ASHLYN,0.002
ASHTON,0.004
ASIA,0.005
ASLEY,0.001
ASSUNTA,0.002
ASTRID,0.004
ASUNCION,0.002
ATHENA,0.007
AUBREY,0.007
AUDIE,0.002
AUDRA,0.015
AUDREA,0.002
AUDREY,0.127
AUDRIA,0.001
AUDRIE,0.001
AUDRY,0.003
AUGUSTA,0.01
AUGUSTINA,0.002
AUGUSTINE,0.003
AUNDREA,0.002
AURA,0.005
AUREA,0.003
AURELIA,0.01
AURORA,0.024
AURORE,0.001
AUSTIN,0.001
AUTUMN,0.017
AVA,0.014
AVELINA,0.002
AVERY,0.001
AVIS,0.013
AVRIL,0.001
AWILDA,0.003
AYAKO,0.001
AYANA,0.002
AYANNA,0.002
AYESHA,0.003
AZALEE,0.001
AZUCENA,0.002
AZZIE,0.001
BABARA,0.002
BABETTE,0.002
BAILEY,0.003
BAMBI,0.004
BAO,0.001
BARABARA,0.001
BARB,0.006
BARBAR,0.002
BARBARA,0.98
BARBERA,0.002
BARBIE,0.003
BARBRA,0.015
BARI,0.001
BARRIE,0.001
BASILIA,0.001
BEA,0.003
BEATA,0.001
BEATRICE,0.13
BEATRIS,0.001
BEATRIZ,0.018
BEAULAH,0.001
BEBE,0.001
BECKI,0.001
BECKIE,0.002
BECKY,0.066
BEE,0.001
BELEN,0.005
BELIA,0.002
BELINDA,0.059
BELKIS,0.001
BELL,0.001
BELLA,0.006
BELLE,0.007
BELVA,0.006
BENITA,0.013
BENNIE,0.007
BERENICE,0.003
BERNA,0.001
BERNADETTE,0.039
BERNADINE,0.014
BERNARDA,0.001
BERNARDINA,0.001
BERNARDINE,0.001
BERNEICE,0.002
BERNETTA,0.002
BERNICE,0.128
BERNIE,0.002
BERNIECE,0.006
BERNITA,0.004
BERRY,0.001
BERTA,0.01
BERTHA,0.143
BERTIE,0.009
BERYL,0.009
BESS,0.007
BESSIE,0.096
BETH,0.11
BETHANIE,0.001
BETHANN,0.002
BETHANY,0.039
BETHEL,0.002
BETSEY,0.002
BETSY,0.034
BETTE,0.019
BETTIE,0.023
BETTINA,0.006
BETTY,0.666
BETTYANN,0.001
BETTYE,0.015
BEULA,0.001
BEULAH,0.048
BEV,0.002
BEVERLEE,0.002
BEVERLEY,0.008
BEVERLY,0.267
BIANCA,0.015
BIBI,0.001
BILLI,0.001
BILLIE,0.069
BILLY,0.004
BILLYE,0.002
BIRDIE,0.007
BIRGIT,0.002
BLAIR,0.005
BLAKE,0.001
BLANCA,0.041
BLANCH,0.004
BLANCHE,0.055
BLONDELL,0.001
BLOSSOM,0.001
BLYTHE,0.002
BOBBI,0.016
BOBBIE,0.065
BOBBY,0.008
BOBBYE,0.003
BOBETTE,0.001
BOK,0.001
BONG,0.001
BONITA,0.026
BONNIE,0.223
BONNY,0.004
BRANDA,0.002
BRANDE,0.001
BRANDEE,0.003
BRANDI,0.055
BRANDIE,0.008
BRANDON,0.002
BRANDY,0.07
BREANA,0.001
BREANN,0.001
BREANNA,0.006
BREANNE,0.003
BREE,0.003
BRENDA,0.455
BRENNA,0.005
BRETT,0.001
BRIAN,0.001
BRIANA,0.01
BRIANNA,0.014
BRIANNE,0.007
BRIDGET,0.045
BRIDGETT,0.009
BRIDGETTE,0.015
BRIGETTE,0.004
BRIGID,0.002
BRIGIDA,0.002
BRIGITTE,0.009
BRINDA,0.002
BRITANY,0.002
BRITNEY,0.009
BRITNI,0.002
BRITT,0.003
BRITTA,0.001
BRITTANEY,0.001
BRITTANI,0.004
BRITTANIE,0.001
BRITTANY,0.117
BRITTENY,0.001
BRITTNEY,0.024
BRITTNI,0.002
BRITTNY,0.001
BRONWYN,0.002
BROOK,0.004
BROOKE,0.039
BRUNA,0.001
BRUNILDA,0.002
BRYANNA,0.001
BRYNN,0.002
BUENA,0.001
BUFFY,0.003
BULA,0.001
BULAH,0.001
BUNNY,0.001
BURMA,0.001
CAITLIN,0.023
CAITLYN,0.004
CALANDRA,0.001
CALISTA,0.001
CALLIE,0.016
CAMELIA,0.002
CAMELLIA,0.001
CAMERON,0.003
CAMI,0.003
CAMIE,0.001
CAMILA,0.001
CAMILLA,0.008
CAMILLE,0.028
